Price,Bedrooms,Bathrooms,Garage,Furnished,Amenity_Annexe (Boys' quarters),Amenity_Garage,Amenity_Garden,Amenity_Generator,Amenity_Refrigerator,Amenity_Swimming pool,Amenity_Pets allowed,Amenity_Open car spaces,Amenity_Fans,Amenity_Water reservoir,Amenity_Microwave,Amenity_Internet,Amenity_Security service,Amenity_Secure parking,Amenity_Washing machine,Amenity_Air conditioning,Amenity_Cooker,Amenity_Dstv,Amenity_Roof terrace,LogPrice,comfortFeatures,utilityFeatures,connectivityFeatures,luxuryFeatures,exSpace
30940.0,4,4,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,10.339805124127057,6,2,2,1,0
30940.0,2,2,0,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,10.339805124127057,5,4,2,2,0
40221.0,3,3,2,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,0,10.60214452626967,5,3,0,2,0
58785.0,4,4,2,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,10.981641999301841,5,4,2,2,1
57238.0,3,2,2,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,0,10.954973292458972,5,3,0,2,0
3867.0,2,2,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,8.260234291607297,6,3,1,2,0
1856.0,1,2,0,1,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,7.526178913346146,5,3,2,2,0
69614.0,5,6,4,0,1,0,1,0,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,11.150720975519965,6,1,2,2,1
30940.0,2,2,3,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,10.339805124127057,6,2,2,0,0
8000.0,2,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,8.987196820661973,2,2,1,0,0
10000.0,3,4,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,9.210340371976184,4,1,1,0,0
2785.0,2,3,2,1,0,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,7.932003152361385,6,4,2,2,0
18564.0,1,1,2,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,9.828979500361067,6,3,2,3,1
18564.0,3,3,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,9.828979500361067,1,3,0,2,0
8500.0,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.047821442478408,1,0,0,0,0
11950.0,2,2,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,9.388486557359657,6,4,2,1,1
15470.0,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,9.646657943567112,6,4,2,1,0
23205.0,3,3,2,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,10.052123051675276,6,4,2,1,0
15470.0,2,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,9.646657943567112,2,3,0,0,0
20111.0,1,1,0,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,9.909022208034603,5,4,2,2,0
1500.0,2,2,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,7.313220387090301,6,3,2,0,0
30940.0,4,5,6,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,10.339805124127057,6,4,1,2,1
4500.0,2,3,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,8.411832675758411,2,2,1,2,0
85084.0,4,4,3,0,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,11.351394282783541,6,3,2,2,1
23205.0,2,3,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,10.052123051675276,5,4,2,3,1
23205.0,2,3,0,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,10.052123051675276,5,4,2,3,0
928.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,6.833031732786201,5,0,1,0,0
123758.0,3,4,4,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,11.72608332480609,6,4,2,3,1
27846.0,2,3,3,1,0,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,10.23444460846923,6,3,2,1,0
30940.0,4,5,6,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,10.339805124127057,5,3,0,2,1
3500.0,2,3,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,8.160518247477505,1,3,2,1,0
38674.0,3,2,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,10.562922818610538,4,0,0,2,0
27200.0,3,3,4,1,1,1,1,1,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,10.210972252284089,5,4,2,1,1
4000.0,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,8.294049640102028,0,2,0,0,0
54144.0,5,6,4,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,0,1,10.899402442965895,5,3,0,2,1
20111.0,3,4,4,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,9.909022208034603,2,3,0,0,0
10055.0,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.215825302206753,0,0,0,0,0
71100.0,4,4,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,1,1,1,0,1,11.171842615791332,4,3,1,2,1
75840.0,4,4,0,0,1,1,0,1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,0,11.236381136928904,5,4,0,1,1
42795.0,5,6,4,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1,1,1,0,0,10.66417655231571,5,4,0,1,1
56000.0,3,4,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,10.933106969717286,5,2,2,1,0
4500.0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,8.411832675758411,6,1,0,0,0
6500.0,3,2,10,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,8.779557455883728,4,3,0,1,0
10829.0,3,4,3,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,9.28998299962838,6,1,0,0,0
40221.0,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.60214452626967,0,0,0,0,0
6000.0,2,3,2,1,0,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,8.699514748210191,5,4,2,1,0
7800.0,2,3,4,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,8.961879012677683,2,2,0,1,0
13923.0,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,9.541297427909285,6,3,2,1,0
